Iteration,Cost
0,20902.67024939036
1,20721.902297548004
2,20542.90187757569
3,20365.649898976433
4,20190.12749510365
5,20016.31602035077
6,19844.19704737814
7,19673.752364376836
8,19504.963972368685
9,19337.814082542165
10,19172.2851136236
11,19008.359689283137
12,18846.02063557513
13,18685.250978412303
14,18526.03394107335
15,18368.352941743447
16,18212.191591087223
17,18057.533689853768
18,17904.36322651322
19,17752.664374924465
20,17602.421492033573
21,17453.6191156025
22,17306.241961967684
23,17160.27492382804
24,17015.703068062085
25,16872.511633573624
26,16730.686029165765
27,16590.211831442728
28,16451.074782739208
29,16313.260789076774
30,16176.75591814702
31,16041.546397321119
32,15907.61861168531
33,15774.95910210208
34,15643.554563296608
35,15513.391841968185
36,15384.4579349262
37,15256.739987250425
38,15130.225290475222
39,15004.90128079735
40,14880.755537307077
41,14757.775780242244
42,14635.94986926498
43,14515.265801760777
44,14395.711711159589
45,14277.27586527868
46,14159.946664686906
47,14043.712641090171
48,13928.56245573771
49,13814.48489784899
50,13701.468883060881
51,13589.50345189488
52,13478.577768244062
53,13368.681117879529
54,13259.802906976092
55,13151.932660656885
56,13045.060021556712
57,12939.174748403822
58,12834.26671461991
59,12730.32590693804
60,12627.342424038326
61,12525.306475201043
62,12424.208378977004
63,12324.038561874933
64,12224.787557065618
65,12126.446003102606
66,12029.004642659249
67,11932.454321281833
68,11836.785986158613
69,11741.990684904516
70,11648.059564361336
71,11554.983869413161
72,11462.75494181687
73,11371.364219047487
74,11280.80323315819
75,11191.063609654768
76,11102.137066384357
77,11014.015412438248
78,10926.690547068576
79,10840.154458618721
80,10754.399223467217
81,10669.41700498502
82,10585.200052505897
83,10501.740700309856
84,10419.03136661934
85,10337.064552608088
86,10255.832841422476
87,10175.328897215142
88,10095.545464190785
89,10016.475365663919
90,9938.111503128486
91,9860.44685533911
92,9783.474477403875
93,9707.187499888469
94,9631.57912793153
95,9556.642640371074
96,9482.371388881811
97,9408.75879712326
98,9335.798359898488
99,9263.483642323325
100,9191.80827900596
101,9120.765973236728
102,9050.35049618799
103,8980.555686123966
104,8911.375447620365
105,8842.803750793748
106,8774.834630540403
107,8707.462185784687
108,8640.680578736685
109,8574.484034159032
110,8508.86683864284
111,8443.823339892553
112,8379.347946019647
113,8315.435124845051
114,8252.079403210168
115,8189.275366296394
116,8127.017656953015
117,8065.300975033393
118,8004.120076739291
119,7943.469773973287
120,7883.344933699115
121,7823.740477309878
122,7764.651380004006
123,7706.07267016885
124,7647.9994287718455
125,7590.426788759109
126,7533.349934461406
127,7476.7641010073585
128,7420.664573743844
129,7365.046687663444
130,7309.905826838887
131,7255.237423864387
132,7201.036959303761
133,7147.299961145301
134,7094.022004263234
135,7041.198709885745
136,6988.825745069468
137,6936.898822180329
138,6885.4136983806975
139,6834.366175122749
140,6783.752097647964
141,6733.567354492665
142,6683.807876999558
143,6634.469638835144
144,6585.548655512976
145,6537.040983922659
146,6488.942721864528
147,6441.250007589927
148,6393.959019347019
149,6347.065974932072
150,6300.567131246111
151,6254.458783856922
152,6208.737266566292
153,6163.398950982442
154,6118.4402460975925
155,6073.857597870568
156,6029.647488814415
157,5985.806437588938
158,5942.330998598099
159,5899.217761592239
160,5856.463351275027
161,5814.064426915106
162,5772.017681962357
163,5730.31984366873
164,5688.967672713592
165,5647.9579628335205
166,5607.287540456494
167,5566.953264340423
168,5526.952025215971
169,5487.280745433599
170,5447.936378614803
171,5408.915909307467
172,5370.216352645277
173,5331.8347540112
174,5293.768188704891
175,5256.013761614043
176,5218.568606889615
177,5181.429887624874
178,5144.594795538228
179,5108.0605506597685
180,5071.824401021513
181,5035.883622351289
182,5000.235517770187
183,4964.877417493588
184,4929.806678535673
185,4895.020684417404
186,4860.516844877915
187,4826.292595589286
188,4792.345397874631
189,4758.672738429496
190,4725.272129046499
191,4692.141106343171
192,4659.277231492981
193,4626.678089959482
194,4594.341291233553
195,4562.264468573688
196,4530.445278749307
197,4498.881401787046
198,4467.57054071998
199,4436.510421339762
200,4405.6987919516205
201,4375.1334231322
202,4344.812107490201
203,4314.732659429771
204,4284.892914916646
205,4255.290731246976
206,4225.923986818813
207,4196.790580906244
208,4167.888433436106
209,4139.215484767284
210,4110.769695472529
211,4082.549046122799
212,4054.551537074057
213,4026.77518825652
214,3999.2180389663267
215,3971.8781476595855
216,3944.753591748771
217,3917.8424674014636
218,3891.1428893413718
219,3864.6529906516325
220,3838.3709225803573
221,3812.294854348386
222,3786.4229729592353
223,3760.753483011207
224,3735.2846065116355
225,3710.0145826932394
226,3684.9416678325642
227,3660.0641350704777
228,3635.3802742347098
229,3610.888391664387
230,3586.58681003657
231,3562.4738681947406
232,3538.547920979229
233,3514.807339059557
234,3491.2505087686773
235,3467.8758319390718
236,3444.6817257407047
237,3421.6666225207946
238,3398.828969645394
239,3376.1672293427423
240,3353.6798785483843
241,3331.3654087520267
242,3309.222325846105
243,3287.2491499760563
244,3265.444415392265
245,3243.806670303661
246,3222.334476732961
247,3201.026410373523
248,3179.8810604478026
249,3158.897029567382
250,3138.0729335945657
251,3117.407401505512
252,3096.899075254895
253,3076.5466096420596
254,3056.348672178681
255,3036.303942957876
256,3016.411114524779
257,2996.6688917485467
258,2977.0759916957836
259,2957.631143505368
260,2938.333088264662
261,2919.180578887087
262,2900.1723799910624
263,2881.307267780265
264,2862.584029925221
265,2844.0014654461934
266,2825.558384597371
267,2807.253608752317
268,2789.0859702906914
269,2771.054312486206
270,2753.157489395816
271,2735.3943657501263
272,2717.763816844999
273,2700.2647284343448
274,2682.8959966240923
275,2665.6565277673158
276,2648.5452383605057
277,2631.561054940978
278,2614.702913985393
279,2597.969761809395
280,2581.360554468332
281,2564.8742576590607
282,2548.509846622825
283,2532.266306049181
284,2516.1426299809714
285,2500.137821720333
286,2484.2508937357147
287,2468.4808675699146
288,2452.8267737491037
289,2437.287651692838
290,2421.862549625046
291,2406.550524485969
292,2391.350641845065
293,2376.2619758148403
294,2361.2836089656153
295,2346.4146322412107
296,2331.6541448755347
297,2317.0012543100734
298,2302.4550761122646
299,2288.014733894748
300,2273.6793592354843
301,2259.4480915987283
302,2245.3200782568483
303,2231.2944742129876
304,2217.3704421245448
305,2203.54715222748
306,2189.823782261426
307,2176.199517395597
308,2162.6735501554917
309,2149.245080350374
310,2135.913315001529
311,2122.6774682712785
312,2109.536761392755
313,2096.4904226004214
314,2083.537687061323
315,2070.677796807079
316,2057.9100006665844
317,2045.2335541994307
318,2032.6477196300316
319,2020.1517657824409
320,2007.7449680158645
321,1995.4266081608507
322,1983.1959744561527
323,1971.0523614862598
324,1958.9950701195853
325,1947.0234074473046
326,1935.136686722837
327,1923.3342273019662
328,1911.6153545835841
329,1899.979399951064
330,1888.4257007142423
331,1876.953600052011
332,1865.5624469555137
333,1854.2515961719291
334,1843.0204081488507
335,1831.868248979242
336,1820.7944903469702
337,1809.798509472902
338,1798.87968906157
339,1788.0374172483876
340,1777.2710875474163
341,1766.5800987996777
342,1755.9638551219982
343,1745.42176585639
344,1734.9532455199546
345,1724.5577137553053
346,1714.2345952815072
347,1703.9833198455185
348,1693.803322174143
349,1683.6940419264722
350,1673.6549236468195
351,1663.685416718145
352,1653.7849753159564
353,1643.953058362686
354,1634.1891294825386
355,1624.492656956803
356,1614.8631136796237
357,1605.2999771142274
358,1595.8027292495979
359,1586.3708565575976
360,1577.003849950525
361,1567.7012047391115
362,1558.4624205909458
363,1549.2870014893226
364,1540.174455692515
365,1531.1242956934605
366,1522.1360381798586
367,1513.2092039946767
368,1504.3433180970592
369,1495.5379095236294
370,1486.792511350195
371,1478.1066606538307
372,1469.4798984753584
373,1460.9117697821982
374,1452.4018234316043
375,1443.9496121342663
376,1435.5546924182856
377,1427.2166245935134
378,1418.9349727162491
379,1410.7093045542965
380,1402.5391915523735
381,1394.4242087978696
382,1386.3639349869484
383,1378.3579523909953
384,1370.4058468233966
385,1362.5072076066608
386,1354.6616275398637
387,1346.8687028664233
388,1339.1280332422004
389,1331.4392217039144
390,1323.8018746378805
391,1316.2156017490572
392,1308.680016030404
393,1301.1947337325478
394,1293.759374333748
395,1286.3735605101667
396,1279.0369181064327
397,1271.7490761064994
398,1264.5096666047923
399,1257.318324777647
400,1250.1746888550276
401,1243.0784000925282
402,1236.0291027436535
403,1229.026444032372
404,1222.0700741259436
405,1215.1596461080164
406,1208.2948159519883
407,1201.4752424946353
408,1194.7005874099975
409,1187.9705151835246
410,1181.2846930864787
411,1174.6427911505848
412,1168.0444821429367
413,1161.489441541147
414,1154.9773475087427
415,1148.5078808708029
416,1142.0807250898354
417,1135.695566241892
418,1129.3520929929164
419,1123.0499965753254
420,1116.7889707648194
421,1110.5687118574192
422,1104.3889186467297
423,1098.2492924014225
424,1092.149536842944
425,1086.089358123434
426,1080.0684648038687
427,1074.0865678324067
428,1068.1433805229556
429,1062.2386185339406
430,1056.371999847284
431,1050.5432447475855
432,1044.7520758015082
433,1038.9982178373618
434,1033.2813979248872
435,1027.601345355233
436,1021.9577916211297
437,1016.3504703972541
438,1010.7791175207833
439,1005.2434709721381
440,999.7432708559113
441,994.2782593819799
442,988.8481808468014
443,983.4527816148875
444,978.0918101004585
445,972.7650167492736
446,967.4721540206359
447,962.2129763695693
448,956.9872402291694
449,951.7947039931203
450,946.6351279983817
451,941.50827450804
452,936.4139076943261
453,931.3517936217924
454,926.3217002306528
455,921.3233973202829
456,916.3566565328737
457,911.4212513372462
458,906.5169570128169
459,901.6435506337165
460,896.8008110530616
461,891.9885188873742
462,887.2064565011495
463,882.4544079915719
464,877.7321591733731
465,873.0394975638371
466,868.3762123679455
467,863.7420944636626
468,859.136936387363
469,854.5605323193928
470,850.0126780697716
471,845.4931710640254
472,841.0018103291563
473,836.5383964797434
474,832.1027317041735
475,827.6946197510039
476,823.3138659154517
477,818.9602770260108
478,814.6336614311932
479,810.3338289863985
480,806.0605910409021
481,801.8137604249683
482,797.5931514370825
483,793.3985798313054
484,789.2298628047422
485,785.0868189851308
486,780.9692684185463
487,776.8770325572196
488,772.8099342474691
489,768.7677977177457
490,764.7504485667893
491,760.7577137518949
492,756.7894215772884
493,752.8454016826104
494,748.9254850315046
495,745.0295039003176
496,741.1572918668982
497,737.3086837995016
498,733.4835158457996
499,729.6816254219883
500,725.9028512019984
501,722.1470331068066
502,718.4140122938417
503,714.7036311464943
504,711.0157332637168
505,707.3501634497244
506,703.7067677037878
507,700.0853932101219
508,696.4858883278654
509,692.9081025811541
510,689.3518866492857
511,685.8170923569718
512,682.3035726646837
513,678.8111816590825
514,675.3397745435404
515,671.8892076287457
516,668.4593383233954
517,665.0500251249723
518,661.6611276106072
519,658.2925064280225
520,654.9440232865607
521,651.6155409482922
522,648.306923219207
523,645.018034940483
524,641.7487419798371
525,638.4989112229523
526,635.268410564984
527,632.0571089021429
528,628.8648761233549
529,625.6915831019942
530,622.5371016876946
531,619.401304698233
532,616.2840659114854
533,613.1852600574578
534,610.104762810387
535,607.0424507809145
536,603.9982015083284
537,600.9718934528786
538,597.9634059881578
539,594.9726193935531
540,591.9994148467648
541,589.0436744163925
542,586.1052810545879
543,583.1841185897721
544,580.2800717194216
545,577.3930260029142
546,574.5228678544432
547,571.6694845359924
548,568.8327641503744
549,566.0125956343319
550,563.2088687516999
551,560.4214740866289
552,557.6503030368681
553,554.8952478071093
554,552.1562014023905
555,549.4330576215551
556,546.7257110507738
557,544.0340570571203
558,541.3579917822053
559,538.6974121358677
560,536.0522157899208
561,533.4223011719536
562,530.8075674591882
563,528.2079145723908
564,525.6232431698353
565,523.0534546413232
566,520.4984511022532
567,517.9581353877447
568,515.4324110468133
569,512.921182336596
570,510.4243542166294
571,507.9418323431766
572,505.4735230636046
573,503.0193334108106
574,500.57917109769807
575,498.1529445117004
576,495.74056270935307
577,493.3419354109134
578,490.95697299502626
579,488.58558649343894
580,486.22768758575893
581,483.8831885942602
582,481.5520024787335
583,479.23404283138194
584,476.92922387176066
585,474.63746044176116
586,472.35866800063917
587,470.09276262008507
588,467.8396609793379
589,465.59928036034165
590,463.3715386429439
591,461.15635430013486
592,458.95364639332934
593,456.76333456768805
594,454.5853390474808
595,452.4195806314889
596,450.2659806884473
597,448.1244611525266
598,445.99494451885363
599,443.87735383907113
600,441.7716127169347
601,439.67764530394925
602,437.5953762950413
603,435.52473092427033
604,433.4656349605747
605,431.41801470355654
606,429.3817969793013
607,427.3569091362332
608,425.3432790410073
609,423.3408350744353
610,421.34950612744757
611,419.36922159708837
612,417.39991138254686
613,415.44150588122045
614,413.49393598481316
615,411.5571330754661
616,409.63102902192145
617,407.7155561757194
618,405.8106473674273
619,403.9162359029002
620,402.03225555957425
621,400.1586405827907
622,398.2953256821523
623,396.44224602790865
624,394.59933724737436
625,392.7665354213762
626,390.94377708073074
627,389.1309992027518
628,387.3281392077871
629,385.5351349557851
630,383.7519247428898
631,381.9784472980645
632,380.2146417797447
633,378.4604477725182
634,376.71580528383436
635,374.9806547407397
636,373.254936986642
637,371.5385932781012
638,369.831565281647
639,368.133795070624
640,366.44522512206214
641,364.7657983135747
642,363.09545792028047
643,361.4341476117542
644,359.7818114489999
645,358.1383938814515
646,356.50383974399716
647,354.87809425402946
648,353.26110300851974
649,351.6528119811163
650,350.05316751926784
651,348.46211634137046
652,346.87960553393754
653,345.3055825487946
654,343.7399952002962
655,342.1827916625672
656,340.6339204667652
657,339.09333049836744
658,337.56097099447953
659,336.03679154116526
660,334.5207420708012
661,333.01277285945025
662,331.5128345242589
663,330.020878020875
664,328.53685464088767
665,327.06071600928703
666,325.5924140819463
667,324.13190114312374
668,322.67912980298547
669,321.23405299514826
670,319.79662397424363
671,318.36679631350023
672,316.9445239023479
673,315.5297609440397
674,314.12246195329516
675,312.7225817539609
676,311.33007547669246
677,309.9448985566532
678,308.56700673123333
679,307.19635603778727
680,305.8329028113888
681,304.47660368260574
682,303.1274155752915
683,301.78529570439565
684,300.4502015737919
685,299.12209097412347
686,297.80092198066654
687,296.4866529512109
688,295.17924252395727
689,293.87864961543295
690,292.5848334184225
691,291.29775339991727
692,290.0173692990799
693,288.7436411252264
694,287.4765291558235
695,286.21599393450356
696,284.96199626909396
697,283.7144972296638
698,282.4734581465853
699,281.2388406086118
700,280.0106064609701
701,278.7887178034693
702,277.57313698862424
703,276.3638266197939
704,275.1607495493353
705,273.9638688767718
706,272.77314794697645
707,271.5885503483692
708,270.4100399111296
709,269.23758070542317
710,268.07113703964177
711,266.9106734586588
712,265.75615474209764
713,264.60754590261416
714,263.4648121841932
715,262.3279190604583
716,261.19683223299495
717,260.0715176296876
718,258.9519414030692
719,257.8380699286845
720,256.7298698034662
721,255.62730784412375
722,254.53035108554542
723,253.4389667792125
724,252.35312239162673
725,251.2727856027493
726,250.19792430445327
727,249.1285065989875
728,248.06450079745298
729,247.00587541829114
730,245.95259918578435
731,244.90464102856768
732,243.86197007815326
733,242.8245556674654
734,241.79236732938804
735,240.7653747953229
736,239.74354799375965
737,238.72685704885674
738,237.71527227903388
739,236.70876419557536
740,235.70730350124427
741,234.71086108890768
742,233.71940804017257
743,232.73291562403244
744,231.75135529552472
745,230.77469869439827
746,229.80291764379174
747,228.83598414892177
748,227.87387039578223
749,226.91654874985267
750,225.96399175481727
751,225.01617213129427
752,224.07306277557421
753,223.134636758369
754,222.20086732357038
755,221.27172788701756
756,220.34719203527527
757,219.4272335244207
758,218.51182627884012
759,217.60094439003473
760,216.69456211543564
761,215.79265387722853
762,214.89519426118667
763,214.0021580155136
764,213.11352004969444
765,212.22925543335617
766,211.34933939513664
767,210.47374732156234
768,209.6024547559349
769,208.73543739722612
770,207.87267109898156
771,207.01413186823214
772,206.15979586441497
773,205.30963939830178
774,204.4636389309356
775,203.6217710725761
776,202.78401258165255
777,201.950340363725
778,201.12073147045325
779,200.29516309857405
780,199.47361258888597
781,198.65605742524173
782,197.8424752335487
783,197.03284378077677
784,196.2271409739738
785,195.4253448592888
786,194.62743362100215
787,193.8333855805637
788,193.04317919563763
789,192.25679305915529
790,191.47420589837435
791,190.6953965739462
792,189.9203440789892
793,189.14902753816995
794,188.38142620679116
795,187.61751946988633
796,186.8572868413214
797,186.10070796290324
798,185.34776260349486
799,184.59843065813732
800,183.8526921471781
801,183.1105272154063
802,182.37191613119447
803,181.63683928564626
804,180.9052771917513
805,180.1772104835461
806,179.45261991528096
807,178.7314863605937
808,178.0137908116893
809,177.29951437852574
810,176.58863828800588
811,175.88114388317567
812,175.17701262242804
813,174.4762260787128
814,173.778765938753
815,173.08461400226625
816,172.39375218119258
817,171.70616249892777
818,171.02182708956258
819,170.34072819712725
820,169.66284817484234
821,168.98816948437445
822,168.31667469509787
823,167.64834648336173
824,166.98316763176243
825,166.32112102842171
826,165.66218966626968
827,165.00635664233377
828,164.35360515703246
829,163.7039185134745
830,163.05728011676322
831,162.413673473306
832,161.77308219012903
833,161.13548997419676
834,160.50088063173698
835,159.86923806757014
836,159.24054628444432
837,158.61478938237465
838,157.99195155798782
839,157.3720171038714
840,156.75497040792783
841,156.14079595273336
842,155.52947831490155
843,154.92100216445152
844,154.31535226418092
845,153.71251346904327
846,153.1124707255302
847,152.51520907105785
848,151.92071363335822
849,151.32896962987448
850,150.7399623671611
851,150.15367724028826
852,149.57009973225047
853,148.9892154133797
854,148.41100994076274
855,147.8354690576628
856,147.26257859294526
857,146.69232446050782
858,146.12469265871448
859,145.55966926983407
860,144.9972404594824
861,144.4373924760688
862,143.88011165024656
863,143.32538439436746
864,142.77319720193998
865,142.2235366470919
866,141.67638938403638
867,141.131742146542
868,140.589581747407
869,140.04989507793672
870,139.51266910742532
871,138.97789088264105
872,138.44554752731517
873,137.91562624163475
874,137.38811430173897
875,136.86299905921908
876,136.3402679406221
877,135.8199084469579
878,135.30190815320987
879,134.78625470784937
880,134.27293583235323
881,133.76193932072505
882,133.2532530390199
883,132.74686492487223
884,132.24276298702736
885,131.7409353048764
886,131.24137002799418
887,130.74405537568077
888,130.24897963650628
889,129.75613116785863
890,129.265498395495
891,128.777069813096
892,128.29083398182348
893,127.80677952988114
894,127.3248951520784
895,126.84516960939744
896,126.36759172856326
897,125.89215040161682
898,125.4188345854912
899,124.9476333015907
900,124.47853563537319
901,124.01153073593501
902,123.5466078155993
903,123.08375614950677
904,122.62296507520978
905,122.16422399226892
906,121.7075223618529
907,121.25284970634074
908,120.8001956089273
909,120.34954971323107
910,119.90090172290525
911,119.45424140125117
912,119.00955857083466
913,118.56684311310497
914,118.12608496801656
915,117.68727413365349
916,117.25040066585622
917,116.81545467785146
918,116.38242633988418
919,115.95130587885258
920,115.5220835779454
921,115.09474977628183
922,114.6692948685539
923,114.24570930467155
924,113.82398358940988
925,113.40410828205924
926,112.98607399607744
927,112.56987139874454
928,112.15549121082013
929,111.74292420620272
930,111.33216121159195
931,110.9231931061527
932,110.51601082118185
933,110.11060533977714
934,109.70696769650857
935,109.30508897709201
936,108.90496031806477
937,108.50657290646396
938,108.10991797950668
939,107.71498682427263
940,107.32177077738878
941,106.93026122471632
942,106.54044960103984
943,106.15232738975843
944,105.76588612257918
945,105.38111737921264
946,104.99801278707044
947,104.61656402096504
948,104.23676280281138
949,103.85860090133083
950,103.48207013175701
951,103.10716235554365
952,102.73386948007462
953,102.36218345837572
954,101.99209628882859
955,101.62360001488666
956,101.25668672479274
957,100.89134855129909
958,100.52757767138878
959,100.16536630599946
960,99.80470671974871
961,99.44559122066147
962,99.0880121598993
963,98.73196193149128
964,98.37743297206718
965,98.0244177605919
966,97.6729088181022
967,97.32289870744515
968,96.97438003301797
969,96.62734544051011
970,96.28178761664695
971,95.93769928893512
972,95.59507322540968
973,95.25390223438295
974,94.9141791641951
975,94.57589690296642
976,94.23904837835123
977,93.90362655729356
978,93.56962444578438
979,93.23703508862046
980,92.90585156916504
981,92.57606700910988
982,92.24767456823916
983,91.92066744419478
984,91.59503887224331
985,91.27078212504459
986,90.94789051242178
987,90.62635738113303
988,90.3061761146447
989,89.98734013290598
990,89.66984289212533
991,89.35367788454793
992,89.03883863823518
993,88.72531871684522
994,88.41311171941541
995,88.1022112801456
996,87.79261106818353
997,87.48430478741129
998,87.1772861762333
999,86.87154900736566
